x,y,random
 823 ,0.969,
 824 ,0.964,
 825 ,0.97,
 826 ,0.977,
 827 ,0.941,
 828 ,0.936,
 829 ,0.931,
 830 ,0.917,
 831 ,0.907,
 832 ,0.899,
 833 ,0.871,
 834 ,0.833,
 835 ,0.816,
 836 ,0.812,
 837 ,0.792,
 838 ,0.791,
 839 ,0.785,
 840 ,0.782,
 841 ,0.8,
 842 ,0.715,
 843 ,0.523,
 844 ,0.779,
 845 ,0.9,
 846 ,0.937,
 847 ,0.954,
 848 ,0.958,
 849 ,0.948,
 850 ,0.899,
 851 ,0.826,
 852 ,0.823,
 853 ,0.846,
 854 ,0.871,
 855 ,0.836,
 856 ,0.687,
 857 ,0.538,
 858 ,0.443,
 859 ,0.377,
 860 ,0.345,
 861 ,0.335,
 862 ,0.278,
 863 ,0.178,
 864 ,0.111,
 865 ,0.092,
 866 ,0.128,
 867 ,0.163,
 868 ,0.166,
 869 ,0.161,
 870 ,0.185,
 871 ,0.262,
 872 ,0.602,
 873 ,0.795,
 874 ,0.9,
 875 ,0.933,
 876 ,0.946,
 877 ,0.939,
 878 ,0.939,
 879 ,0.947,
 880 ,0.948,
 881 ,0.926,
 882 ,0.87,
 883 ,0.701,
 884 ,0.529,
 885 ,0.453,
 886 ,0.285,
 887 ,0.199,
 888 ,0.281,
 889 ,0.343,
 890 ,0.32,
 891 ,0.523,
 892 ,0.883,
 893 ,0.954,
 894 ,0.966,
 895 ,0.957,
 896 ,0.917,
 897 ,0.828,
 898 ,0.624,
 899 ,0.285,
 900 ,0.07,
 901 ,0.005,
 902 ,0.007,
 903 ,0.034,
 904 ,0.071,
 905 ,0.108,
 906 ,0.121,
 907 ,0.11,
 908 ,0.096,
 909 ,0.084,
 910 ,0.076,
 911 ,0.097,
 912 ,0.168,
 913 ,0.252,
 914 ,0.273,
 915 ,0.386,
 916 ,0.462,
 917 ,0.476,
 918 ,0.538,
 919 ,0.605,
 920 ,0.679,
 921 ,0.756,
 922 ,0.753,
 923 ,0.693,
 924 ,0.63,
 925 ,0.616,
 926 ,0.61,
 927 ,0.552,
 928 ,0.489,
 929 ,0.422,
 930 ,0.34,
 931 ,0.257,
 932 ,0.212,
 933 ,0.198,
 934 ,0.165,
 935 ,0.146,
 936 ,0.145,
 937 ,0.124,
 938 ,0.081,
 939 ,0.053,
 940 ,0.058,
 941 ,0.029,
 942 ,0.026,
 943 ,0.013,
 944 ,0.006,
 945 ,0.015,
 946 ,0.049,
 947 ,0.054,
 948 ,0.046,
 949 ,0.089,
 950 ,0.249,
 951 ,0.486,
 952 ,0.678,
 953 ,0.816,
 954 ,0.873,
 955 ,0.833,
 956 ,0.81,
 957 ,0.797,
 958 ,0.77,
 959 ,0.756,
 960 ,0.755,
 961 ,0.751,
 962 ,0.641,
 963 ,0.574,
 964 ,0.728,
 965 ,0.791,
 966 ,0.81,
 967 ,0.796,
 968 ,0.747,
 969 ,0.641,
 970 ,0.406,
 971 ,0.125,
 972 ,0.011,
 973 ,0.01,
 974 ,0.026,
 975 ,0.036,
 976 ,0.035,
 977 ,0.051,
 978 ,0.111,
 979 ,0.243,
 980 ,0.541,
 981 ,0.798,
 982 ,0.888,
 983 ,0.899,
 984 ,0.879,
 985 ,0.858,
 986 ,0.735,
 987 ,0.816,
 988 ,0.955,
 989 ,0.978,
 990 ,0.964,
 991 ,0.929,
 992 ,0.914,
 993 ,0.942,
 994 ,0.978,
 995 ,0.906,
 996 ,0.72,
 997 ,0.535,
 998 ,0.336,
 999 ,0.113,
" 1,000 ",0.049,
" 1,001 ",0.104,
" 1,002 ",0.204,
" 1,003 ",0.3,
" 1,004 ",0.364,
" 1,005 ",0.416,
" 1,006 ",0.449,
" 1,007 ",0.463,
" 1,008 ",0.487,
" 1,009 ",0.522,
" 1,010 ",0.498,
" 1,011 ",0.456,
" 1,012 ",0.327,
" 1,013 ",0.243,
" 1,014 ",0.168,
" 1,015 ",0.163,
" 1,016 ",0.17,
" 1,017 ",0.259,
" 1,018 ",0.323,
" 1,019 ",0.387,
" 1,020 ",0.433,
" 1,021 ",0.398,
" 1,022 ",0.378,
" 1,023 ",0.428,
" 1,024 ",0.552,
" 1,025 ",0.669,
" 1,026 ",0.68,
" 1,027 ",0.603,
" 1,028 ",0.542,
" 1,029 ",0.468,
" 1,030 ",0.391,
" 1,031 ",0.311,
" 1,032 ",0.198,
" 1,033 ",0.064,
" 1,034 ",0.117,
" 1,035 ",0.309,
" 1,036 ",0.913,
